user_id,session_id,event_index,previous,current,delta,type
"%V3Sp(Z,9$gtQQ=M-A>`<a`vw0B[+la[W\""pwX",K1Go@{0iu@6u5(Q&NWpw=&UJ6 Um=W%kdc+X[T9^B!,4,4,6,2,skip
%Z}K-I_|$V_#zQ9kueZ~MQoGjB|ocGKxE2qQ##,"=""+:4ac%55_1e3u-FL2\F1kY@jAQDnUc6+WC3..e|L",2,2,5,3,skip
"%gfuBe7B(y08X@#ng%quF3NpQkS={r,.E{""N'[",HoM.jl4H[HjEKx+s_q>5C8{xP!=6\qWX`@eV!nDF@A,11,11,15,4,skip
"%i/I,gMJ&DNpsy&""2ox$TPI:+cS]Z:)>}iQiJL",4Zal vMF9Nh%BYl/~g%MdxG=Qg+S;a[Dh*?x`F['16,2,2,4,2,skip
"%sPV)WlQ:z.lzP~?.uYbL60X#pPCd+As\,c@!m",?Iivv!d/R?w!8VK>KLU4lPhs!P.lTWfwt# C\^Hwb.,3,3,5,2,skip
"%sPV)WlQ:z.lzP~?.uYbL60X#pPCd+As\,c@!m",?Iivv!d/R?w!8VK>KLU4lPhs!P.lTWfwt# C\^Hwb.,6,7,9,2,skip
"%sPV)WlQ:z.lzP~?.uYbL60X#pPCd+As\,c@!m",?Iivv!d/R?w!8VK>KLU4lPhs!P.lTWfwt# C\^Hwb.,8,10,12,2,skip
"%sPV)WlQ:z.lzP~?.uYbL60X#pPCd+As\,c@!m",?Iivv!d/R?w!8VK>KLU4lPhs!P.lTWfwt# C\^Hwb.,10,13,15,2,skip
%y$#xgQmCPmXmNY 4t'SP>Yl\eXSY<dY6:L_GL,"RpE:'M10V4({xn2$nX0hCtxd]Ow~=;\h=x0z?j""gW{",2,2,4,2,skip
"%z?Y,Ofd9kN[U'#17iy$}CwmL5XpVt.B-G&#4C","v`#;Wo5dSS3S6/Eh(/!F,`*f(Vm$Kg RkG#3'pE""%K",6,6,8,2,skip
"&'8B|mi$X+dykNDsY4y.sAq\,bW]y-Z1Ak=_g4",}#|F3;q)5jkGxsaXJyi.~?;9QMhF;HFM3l#?zX\Kk:,10,11,13,2,skip
"&0f2\=8;%0w@/|y\#m4aPZK_7}sCn&M]_uK""(4","""\zLB*gK+)2_<`o4]\.VH8`vB!TQgU4NI5J}AFVI!i",4,4,6,2,skip
"&0f2\=8;%0w@/|y\#m4aPZK_7}sCn&M]_uK""(4","""\zLB*gK+)2_<`o4]\.VH8`vB!TQgU4NI5J}AFVI!i",9,8,10,2,skip
"&0f2\=8;%0w@/|y\#m4aPZK_7}sCn&M]_uK""(4","""\zLB*gK+)2_<`o4]\.VH8`vB!TQgU4NI5J}AFVI!i",11,11,13,2,skip
"&57:_(tR{""DTJNjF#T.3I}C^uN7*XWZPsmQ6nl","&C>K5I:~aM](2ajioK,Jp,GU ICmUw&pm65ha2aQ3c",5,5,7,2,skip
"&D!b4g>6w""rIs8w 4GR*4E]PRnV)lSxjsKQ>sn",=?'nZuzIgV`i7|[<OYCjyiLnrW9*'6ybHjSmXijsWA,5,5,7,2,skip
&JG)a/_ir[X3.LIqHbI<03}^RZ.h5Iww|PL xF,]BF3]j=mrDEQ|ChQ?BXPv|;4UF>(:s'1M_M?n;$Wk&,16,12,14,2,skip
&Q5bLZ&lXL!bX>.6a-GU.zx6viLatu:fM3MybM,B:'/h4T%a(?G -rSbE$/>A39[R0ZKsZ6#0[ |g&?'P,2,2,4,2,skip
&mo09-9Y*Av0FUoo&dCOE'k3W((Qq~\h$A%I;=,#Fx1g)b7lF6V'%gJn^xH?22Kb|o0?=#U:h9Ja0$i=A,3,3,10,7,skip
"&nS$@bExju/KrM)BC""&Z0F4BIQ>[C?Ll18OzCH","Auy=VUhAA@(""dX^!*2@N(pyP`ETU\2d-5OD8(Kym8Y",5,5,8,3,skip
&s+9A7}E`DMNp8jC&$Qve<?/?:Ckw^&F);znDf,"!b_5Kk{2\3wq3*7Qu2+PI[Qg%d:7i}P, ]NA9qq2]:",9,9,11,2,skip
&s+9A7}E`DMNp8jC&$Qve<?/?:Ckw^&F);znDf,"!b_5Kk{2\3wq3*7Qu2+PI[Qg%d:7i}P, ]NA9qq2]:",18,19,21,2,skip
"'""3wvmJ`S2K`z|C'#V;2bBl[FP5=2*5qH Rd/N",}nw(nCRFg7r\5@y>y-G1qUPfl2f w ((A/];lmfB1i,4,4,6,2,skip
"'*""Sks5^~34V^[eR<&g[[Fg[ckmPd)UE:z\PI:",X1O6JS*@gO=N:miDy/$!=KEArj[L*$/=vd*PXTs5>=,3,3,5,2,skip
'*~1)}7/iBZfARm\bNfEu``rMH$C;xwf/ar(9k,+.?#3$\bvSG7GIW.{W_A2mb\Vts@0$$2Dx6]2m{U4X,4,7,9,2,skip
'4~}WEr!-*vhXa{*_gvE 4*fFq3fnZ.&$J.Rh^,-[hEUg]roYiE[`(PB=C<Fh}AX5zIXa:nqakk@E1xBd,3,3,5,2,skip
'Akj&Owgw;qg?rq>p7<0bB1(VpBh~c@1W7YE(d,"Q+CgYnjK(/UHoAwDayhT,dW$3,Xg7v|!!&{`V6+U_[",2,2,4,2,skip
'D1);R)qE?PX*\l>eye9R9 0U\OX~v$[}S[|54,"JEl-J_m`FDeY<ht.(j:H+1)yaZ8!eZzm>P&-"">.pF8",4,4,6,2,skip
"'J2E4pJ4fquIg3*1Fays!&`p~b0!M2`*{syV""*","#rMJL.HP%i_mk<<h;FdPC`Z$6?""n/>Nz4_#Z6+4sHF",4,4,6,2,skip
"'J2E4pJ4fquIg3*1Fays!&`p~b0!M2`*{syV""*","#rMJL.HP%i_mk<<h;FdPC`Z$6?""n/>Nz4_#Z6+4sHF",5,6,8,2,skip
"'](}hx|/X^UM']R(+z!Ix?i]c17,8(yiX1x.9[",Xzow7m@0q2+}PGKbO]=.ekIeXAf_3D#?A>m;*4/]GD,2,2,4,2,skip
"'](}hx|/X^UM']R(+z!Ix?i]c17,8(yiX1x.9[",Xzow7m@0q2+}PGKbO]=.ekIeXAf_3D#?A>m;*4/]GD,3,4,3,-1,reset
"'](}hx|/X^UM']R(+z!Ix?i]c17,8(yiX1x.9[",Xzow7m@0q2+}PGKbO]=.ekIeXAf_3D#?A>m;*4/]GD,4,3,5,2,skip
'gSvW!Lz{9IvB&WZ[@aJ49N0?M)nY?@w&r[Ro;,aB/5E79r])8v`!mLwdlZ9Sg7$t0ifzCxf$b[[Z$^[c,4,4,6,2,skip
"(%f:,Ekj#$EuZp?fj!s[3$nEKPylf&-,WqV|<.","ggOhr4;+|W,XOzG(k#FCUl+8P}O7Apw03+<beqlDh2",4,4,6,2,skip
(0!k/x<C!=bP+t:\Gzr!t|auklFMVIo$I\1|eC,"% ZFXCn@L!^/Lf""4""aONI:?oyffpvlvUH(fhKKiLL>",2,2,4,2,skip
"(5VOp?F7tyBUr5EL{=,!uDObSat9VQH[4/>4i+","mtH+>xk^X/GdSYbT3#qX\Nr,OZR1HrT\m8QASEp\G~",5,5,8,3,skip
"(5VOp?F7tyBUr5EL{=,!uDObSat9VQH[4/>4i+","mtH+>xk^X/GdSYbT3#qX\Nr,OZR1HrT\m8QASEp\G~",6,8,6,-2,reset
